datadate,fyear,tic,epspi
20121231,2012,AAL,-5.6
20131231,2013,AAL,-11.25
20141231,2014,AAL,4.02
20151231,2015,AAL,11.39
20161231,2016,AAL,4.85
20171231,2017,AAL,3.92
20181231,2018,AAL,3.04
20191231,2019,AAL,3.8
20201231,2020,AAL,-18.36
20121231,2012,CECE,0.73
20131231,2013,CECE,0.33
20141231,2014,CECE,0.51
20151231,2015,CECE,-0.19
20161231,2016,CECE,-1.12
20171231,2017,CECE,-0.09
20181231,2018,CECE,-0.21
20191231,2019,CECE,0.51
20201231,2020,CECE,0.23
20121231,2012,PNW,3.48
20131231,2013,PNW,3.69
20141231,2014,PNW,3.59
20151231,2015,PNW,3.94
20161231,2016,PNW,3.97
20171231,2017,PNW,4.37
20181231,2018,PNW,4.56
20191231,2019,PNW,4.79
20201231,2020,PNW,4.89
20121231,2012,PRG,2.28
20131231,2013,PRG,1.59
20141231,2014,PRG,1.08
20151231,2015,PRG,1.87
20161231,2016,PRG,1.93
20171231,2017,PRG,4.13
20181231,2018,PRG,2.84
20191231,2019,PRG,0.47
20201231,2020,PRG,-0.91
20121231,2012,ABT,3.76
20131231,2013,ABT,1.64
20141231,2014,ABT,1.5
20151231,2015,ABT,2.94
20161231,2016,ABT,0.94
20171231,2017,ABT,0.27
20181231,2018,ABT,1.34
20191231,2019,ABT,2.07
20201231,2020,ABT,2.52
20121231,2012,WDDD,-0.02
20131231,2013,WDDD,-0.05
20141231,2014,WDDD,-0.01
20151231,2015,WDDD,-0.04
20161231,2016,WDDD,-0.01
20171231,2017,WDDD,-0.01
20181231,2018,WDDD,0.03
20191231,2019,WDDD,-0.02
20201231,2020,WDDD,-0.03
20121231,2012,ACU,1.14
20131231,2013,ACU,1.26
20141231,2014,ACU,1.48
20151231,2015,ACU,1.44
20161231,2016,ACU,1.76
20171231,2017,ACU,1.21
20181231,2018,ACU,1.36
20191231,2019,ACU,1.65
20201231,2020,ACU,2.42
20121231,2012,BKTI,0.15
20131231,2013,BKTI,0.08
20141231,2014,BKTI,0.12
20151231,2015,BKTI,0.08
20161231,2016,BKTI,0.2
20171231,2017,BKTI,-0.27
20181231,2018,BKTI,-0.01
20191231,2019,BKTI,-0.21
20201231,2020,BKTI,0.02
20121231,2012,AE,6.59
20131231,2013,AE,5.12
20141231,2014,AE,1.55
20151231,2015,AE,-0.3
20161231,2016,AE,0.6
20171231,2017,AE,-0.11
20181231,2018,AE,0.7
20191231,2019,AE,1.94
20201231,2020,AE,0.23
20121231,2012,AMD,-1.6
20131231,2013,AMD,-0.11
20141231,2014,AMD,-0.53
20151231,2015,AMD,-0.84
20161231,2016,AMD,-0.6
20171231,2017,AMD,0.04
20181231,2018,AMD,0.34
20191231,2019,AMD,0.31
20201231,2020,AMD,2.1
20121231,2012,ALK,4.47
20131231,2013,ALK,7.26
20141231,2014,ALK,4.47
20151231,2015,ALK,6.61
20161231,2016,ALK,6.59
20171231,2017,ALK,8.39
20181231,2018,ALK,3.55
20191231,2019,ALK,6.24
20201231,2020,ALK,-10.72
20121231,2012,ATRI,11.72
20131231,2013,ATRI,13.22
20141231,2014,ATRI,14.2
20151231,2015,ATRI,15.67
20161231,2016,ATRI,15.12
20171231,2017,ATRI,19.82
20181231,2018,ATRI,18.49
20191231,2019,ATRI,19.82
20201231,2020,ATRI,17.49
20121231,2012,MATX,1.09
20131231,2013,MATX,1.26
20141231,2014,MATX,1.65
20151231,2015,MATX,2.37
20161231,2016,MATX,1.87
20171231,2017,MATX,5.41
20181231,2018,MATX,2.55
20191231,2019,MATX,1.93
20201231,2020,MATX,4.48
20121231,2012,ALX,132.04
20121231,2012,ALX,
20131231,2013,ALX,11.14
20131231,2013,ALX,
20141231,2014,ALX,13.29
20141231,2014,ALX,
20151231,2015,ALX,15.04
20151231,2015,ALX,
20161231,2016,ALX,
20161231,2016,ALX,16.91
20171231,2017,ALX,
20171231,2017,ALX,15.74
20181231,2018,ALX,
20181231,2018,ALX,6.42
20191231,2019,ALX,11.74
20191231,2019,ALX,
20201231,2020,ALX,8.19
20201231,2020,ALX,
20121231,2012,Y,
20121231,2012,Y,45.48
20131231,2013,Y,37.44
20131231,2013,Y,
20141231,2014,Y,41.4
20141231,2014,Y,
20151231,2015,Y,35.14
20151231,2015,Y,
20161231,2016,Y,29.6
20161231,2016,Y,
20171231,2017,Y,
20171231,2017,Y,5.85
20181231,2018,Y,2.62
20181231,2018,Y,
20191231,2019,Y,
20191231,2019,Y,59.44
20201231,2020,Y,
20201231,2020,Y,7.14
20121231,2012,HON,3.74
20131231,2013,HON,4.99
20141231,2014,HON,5.4
20151231,2015,HON,6.11
20161231,2016,HON,6.29
20171231,2017,HON,2.17
20181231,2018,HON,9.1
20191231,2019,HON,8.52
20201231,2020,HON,6.79
20121231,2012,HES,5.98
20131231,2013,HES,15.01
20141231,2014,HES,7.63
20151231,2015,HES,-10.78
20161231,2016,HES,-19.92
20171231,2017,HES,-13.12
20181231,2018,HES,-1.1
20191231,2019,HES,-1.37
20201231,2020,HES,-10.15
20121231,2012,PRI,2.77
20121231,2012,PRI,
20131231,2013,PRI,2.87
20131231,2013,PRI,
20141231,2014,PRI,3.29
20141231,2014,PRI,
20151231,2015,PRI,3.7
20151231,2015,PRI,
20161231,2016,PRI,4.59
20161231,2016,PRI,
20171231,2017,PRI,7.63
