Ticker,Sic,Remove
AIR,5080,0
AAL,4512,0
CECE,3564,0
PNW,4911,1
PRG,6141,1
ABT,3845,0
WDDD,7370,0
ACU,3420,0
BKTI,3663,0
AE,5172,0
AMD,3674,0
APD,2810,0
AIRT,4513,0
ALK,4512,0
ATRI,3841,0
MATX,4400,0
ALX,6798,1
ALCO,100,0
PBAJ,5500,0
Y,6331,1
HON,9997,0
SWKS,3674,0
HES,1311,0
UHAL,7510,0
ABM,7340,0
PRI,6311,1
ECOL,4955,1
AEP,4911,1
AXP,6141,1
AFL,6321,1
AIG,6331,1
ANAT,6311,1
ARL,6512,1
AMS,8090,0
AMSWA,7372,0
AVD,2870,0
AME,3823,0
AMGN,2836,0
AP,3460,0
AXR,6552,1
ADI,3674,0
ANDR,3663,0
ANDE,5150,0
NBR,1381,0
APOG,3442,0
AAPL,3663,0
AMAT,3559,0
EPAC,3533,0
TREC,2911,0
AOXY,6512,1
ADM,2070,0
ARCB,4213,0
ARW,5065,0
ARTW,3523,0
ASH,2820,0
ALOT,3577,0
ATRO,3640,0
REX,2860,0
ADSK,7370,0
ADP,7374,0
AVY,2670,0
AVT,5065,0
AZZ,3640,0
BRT,6798,1
BMI,3824,0
BCPC,2834,0
PTVCB,6331,1
BLL,3411,0
BPOP,6020,1
BOH,6020,1
BK,6020,1
B,3490,0
BRN,1311,0
BSET,2511,0
BAX,2834,0
AIT,5080,0
BDX,3841,0
BELFB,3677,0
VZ,4812,0
BBY,5731,0
BIO,3826,0
NIMU,3845,0
BKH,4911,1
HRB,7200,0
VAL,1381,0
BA,3721,0
RHI,7363,0
RFP,2621,0
BRC,3990,0
BRID,2013,0
BMY,2834,0
CAL,3140,0
BC,3510,0
MTRN,3330,0
CXEE,8711,0
MTZ,1623,0
UIS,7373,0
BUKS,8741,0
RAMP,7370,0
CI,6324,1
CNA,6331,1
CSPI,7373,0
CSX,4011,0
CTS,3670,0
TLS,7373,0
CVV,3559,0
CBT,2890,0
CACI,7373,0
CAMP,3663,0
KRED,2086,0
CWT,4941,1
CPB,2030,0
STZ,2082,0
CPTP,6519,1
CAH,5122,0
CSL,2950,0
CRS,3312,0
CASY,5412,0
CTAM,5051,0
CAT,3531,0
CATO,5621,0
CVCO,2452,0
RFIL,3678,0
LUMN,4813,0
MGLN,8741,0
CMD,3845,0
CHE,8082,0
JPM,6020,1
CPK,4923,1
CLSN,2836,0
CVX,2911,0
CVR,3452,0
EAT,5812,0
CHD,2840,0
CHDN,7990,0
CBB,4813,0
CTAS,7200,0
IHRT,4832,0
CLF,3310,0
CLX,2842,0
COKE,2086,0
KO,2086,0
CDE,1040,0
COHR,3826,0
COHU,3825,0
CL,2844,0
CCF,2891,0
AON,6411,1
CMCSA,4841,0
CMA,6020,1
CBSH,6020,1
C,6199,1
CMC,3312,0
JCS,3661,0
CAR,7510,0
CHCR,6324,1
DXC,7370,0
CTG,7370,0
CMTL,3663,0
CAG,2000,0
RAVE,6794,1
SSTK,7370,0
TCI,6512,1
ED,4931,1
BH,5812,0
CTO,6798,1
CMS,4931,1
CLR,1311,0
CTB,3011,0
COO,3851,0
TAP,2082,0
GLW,3679,0
CNIG,4923,1
CUZ,6798,1
CBRL,5812,0
CR,3490,0
OMF,6141,1
CCK,3411,0
CRWS,2211,0
CUB,3578,0
CFR,6020,1
CULP,2211,0
CMI,3510,0
CW,3728,0
GTBP,2834,0
WEN,5812,0
DAN,3714,0
DHR,3826,0
DAIO,3825,0
DWSN,1382,0
TGT,5331,0
DE,3523,0
DAL,4512,0
DLX,2780,0
DTE,4931,1
ATGE,8200,0
PYYX,5190,0
DBD,3578,0
NSYS,3679,0
DDS,5311,0
DIOD,3674,0
DIS,4888,0
DXYN,2273,0
DG,5331,0
D,4911,1
DCI,3714,0
RRD,2750,0
DMLP,6792,1
DOV,3585,0
DD,2860,0
OMC,7311,0
ASNAQ,5621,0
DCO,3728,0
DUK,4931,1
DNB,7323,0
FLS,3561,0
DY,1623,0
DYNT,3845,0
DYSL,3827,0
PKI,3826,0
EML,3420,0
EGP,6798,1
KODK,3577,0
ETN,3620,0
ECL,2842,0
EDUC,5190,0
ELSE,3823,0
EMR,3823,0
MSN,3651,0
WFTLF,1381,0
ATO,4924,1
MARA,7374,0
EBF,2761,0
ENZN,2836,0
ENZ,8071,0
EFX,7323,0
EQT,4923,1
ESCA,3949,0
ESP,3679,0
NEU,2860,0
KINS,6331,1
EXPD,4731,0
BOOM,3533,0
IIIN,3310,0
XOM,2911,0
FMC,2870,0
NEE,4911,1
FARM,2090,0
FDX,4513,0
FNMA,6111,1
FRT,6798,1
FSS,3711,0
M,5311,0
FOE,2851,0
CLBS,2836,0
FITB,6020,1
RF,6020,1
TRMK,6020,1
FCNCA,6020,1
FCIC,9995,0
MTB,6020,1
FHRT,6510,1
USB,6020,1
FHN,6020,1
BDL,5812,0
FLXS,2510,0
FLO,2050,0
FLR,1600,0
FONR,8071,0
F,3711,0
FSTR,5051,0
FELE,3621,0
BEN,6282,1
FEIM,3825,0
FRD,3310,0
FUL,2891,0
GATX,4700,0
AJG,6411,1
